Patch;Eclairage;L;a;b
Patch 4;V2;57.16194179852252;20.289162938888662;-8.45541749241443
Patch 5;B1;61.53307620596256;29.459412605546465;-11.156861874605827
Patch 5;B2;57.67370251267931;34.97141862663189;-13.46657398258575
Patch 5;C;48.584123750524626;6.57526625562882;-17.68739951103049
Patch 5;DR1;31.176391243657953;0.19190892839007767;-67.11354424041794
Patch 5;DR2;31.317590049002064;-0.3712660265500767;-65.08946727965416
Patch 5;FR1;31.893316715996733;-1.1759125057742292;-62.853918846503106
Patch 5;FR2;34.90200786809343;0.4683470702064041;-57.91245664624404
Patch 5;FR3;34.900985043273266;3.257118846841739;-58.75180024472596
Patch 5;G1;42.43280669318674;-19.44388098057634;-18.041119845780806
Patch 5;G2;39.200064093648706;-15.863604390317171;-18.79252580762133
Patch 5;L;34.87760175586154;-16.00009165281352;-36.174078279505785
Patch 5;OR;28.78688525758021;-0.18369178999277924;-48.19640333458476
Patch 5;PC_A;30.087781575193098;-1.9542668334088797;-60.63460359145252
Patch 5;R1;29.007510534206553;0.04163621948735652;-60.530876992722796
Patch 5;R2;29.934276666266847;0.23085311468976077;-66.57450755382646
Patch 5;RB1;70.43740086382454;10.85350475349972;-4.384276208849269
Patch 5;RB2;67.83162972217146;16.76326395418576;-6.540880527831527
Patch 5;V1;55.88711554704925;45.945516582875655;-19.366686574349213
Patch 5;V2;65.46382675395029;23.250310243314807;-9.68125674651903
Patch 6;B1;29.125485507053185;-24.289992625218748;9.1783848069101
Patch 6;B2;31.879295960976364;-29.494947018416205;10.99018978351448
Patch 6;C;36.90891452725875;-16.07930139962527;8.973394470208929
Patch 6;DR1;30.610048099036803;0.010569599974363797;12.612882348341692
Patch 6;DR2;30.707556673976796;-0.6193942721464119;11.561200670858574
Patch 6;FR1;31.013683737115052;-1.377519257291876;11.263408354880944
Patch 6;FR2;32.73902711825073;-6.214654646740287;14.181276544616939
Patch 6;FR3;32.77392202235674;-6.922200835110442;14.534418373618907
Patch 6;G1;37.685377489070916;-9.115857783883879;3.3952331487030585
Patch 6;G2;36.99263086762774;-8.882936324235175;0.8992400137063039
Patch 6;L;33.83639036378541;-12.06978934697253;-0.16323405427189908
Patch 6;OR;28.91216930505957;-0.19770501020119347;4.45311363022104
Patch 6;PC_A;30.439792573814962;-3.052497898419715;7.68803738212439
Patch 6;R1;29.069485823163248;-0.01104634017548567;7.422816013290534
Patch 6;R2;29.713302500093683;0.1295808843611579;10.027237886445562
